"Response ID","Country","my full-time job:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","my hobby:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","volunteer in the community for free:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","learn something new:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","my school or university project:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","help get a job:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","meet new people:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","get paid:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","Other - Write In:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","Other - Write In:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","Other - Write In:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for... - Text Analysis:What motivates you to contribute to the selected open-source software project (select all that apply)?I contribute to/for...","How often do you contribute to the selected software project?","To be a part of how software is built:When thinking about how you selected this open source project to contribute to, how important were the following?","Project goals align with my own:When thinking about how you selected this open source project to contribute to, how important were the following?","My friends and colleagues contribute to this project:When thinking about how you selected this open source project to contribute to, how important were the following?","Project seemed welcoming :When thinking about how you selected this open source project to contribute to, how important were the following?","Project seemed easy to join:When thinking about how you selected this open source project to contribute to, how important were the following?","Saw on social media:When thinking about how you selected this open source project to contribute to, how important were the following?","Ability to contribute:When thinking about how you selected this open source project to contribute to, how important were the following?","Adding a missing feature/fixing or reporting bugs/requesting better documentation:When thinking about how you selected this open source project to contribute to, how important were the following?","Code quality:When thinking about how you selected this open source project to contribute to, how important were the following?","Code quality :When thinking about how you selected this open source project to contribute to, how important were the following?","Create a product that will impact communities:When thinking about how you selected this open source project to contribute to, how important were the following?","Doing open source was part of paid full time  job:When thinking about how you selected this open source project to contribute to, how important were the following?","Help with my daily job :When thinking about how you selected this open source project to contribute to, how important were the following?","How it solves my problems:When thinking about how you selected this open source project to contribute to, how important were the following?","I felt it was necessary that this project was updated.:When thinking about how you selected this open source project to contribute to, how important were the following?","I like this technology:When thinking about how you selected this open source project to contribute to, how important were the following?","I needed a feature that nobody was willing to implement:When thinking about how you selected this open source project to contribute to, how important were the following?","I used it and it needed some updates to keep working:When thinking about how you selected this open source project to contribute to, how important were the following?","I'm designer of the RB3201 platform hardware.:When thinking about how you selected this open source project to contribute to, how important were the following?","Impact, improving science:When thinking about how you selected this open source project to contribute to, how important were the following?","Interested in the software or technology:When thinking about how you selected this open source project to contribute to, how important were the following?","It was in need of more structure:When thinking about how you selected this open source project to contribute to, how important were the following?","It was my Job:When thinking about how you selected this open source project to contribute to, how important were the following?","Needed to add features for my work:When thinking about how you selected this open source project to contribute to, how important were the following?","Project creator:When thinking about how you selected this open source project to contribute to, how important were the following?","Project is well organized and does not re-invent the wheel:When thinking about how you selected this open source project to contribute to, how important were the following?","Project supports social equity:When thinking about how you selected this open source project to contribute to, how important were the following?","Provide up-to-date code for others learning:When thinking about how you selected this open source project to contribute to, how important were the following?","Saw a need in the community that affected people I know:When thinking about how you selected this open source project to contribute to, how important were the following?","Social impact:When thinking about how you selected this open source project to contribute to, how important were the following?","Something else:When thinking about how you selected this open source project to contribute to, how important were the following?","The project be very active:When thinking about how you selected this open source project to contribute to, how important were the following?","The software we're building at work required me to contribute:When thinking about how you selected this open source project to contribute to, how important were the following?","To align our dev and design processes:When thinking about how you selected this open source project to contribute to, how important were the following?","Update frequency, testability, accuracy:When thinking about how you selected this open source project to contribute to, how important were the following?","Useful to learn:When thinking about how you selected this open source project to contribute to, how important were the following?","Well tests and documents:When thinking about how you selected this open source project to contribute to, how important were the following?","may solve my needs for free:When thinking about how you selected this open source project to contribute to, how important were the following?","Interacting with welcoming collaborators:When thinking about why you continued to contribute to the selected project, how important are the following?","Connecting with people from around the world:When thinking about why you continued to contribute to the selected project, how important are the following?","Maintaining low stress levels:When thinking about why you continued to contribute to the selected project, how important are the following?","Having exciting tasks:When thinking about why you continued to contribute to the selected project, how important are the following?","Having challenging tasks:When thinking about why you continued to contribute to the selected project, how important are the following?","Being paid for my work:When thinking about why you continued to contribute to the selected project, how important are the following?","123:When thinking about why you continued to contribute to the selected project, how important are the following?","Because it is solving my problems:When thinking about why you continued to contribute to the selected project, how important are the following?","I contributed only a single time:When thinking about why you continued to contribute to the selected project, how important are the following?","I did not contiune:When thinking about why you continued to contribute to the selected project, how important are the following?","Kept needing the tool:When thinking about why you continued to contribute to the selected project, how important are the following?","Madey job easier:When thinking about why you continued to contribute to the selected project, how important are the following?","Maintaining good code and tech practices:When thinking about why you continued to contribute to the selected project, how important are the following?","Needed a new feature:When thinking about why you continued to contribute to the selected project, how important are the following?","Realizing my own ideas:When thinking about why you continued to contribute to the selected project, how important are the following?","Technology Stack:When thinking about why you continued to contribute to the selected project, how important are the following?","The software can be part of my daily work:When thinking about why you continued to contribute to the selected project, how important are the following?","We need to improve the software we use for our customers:When thinking about why you continued to contribute to the selected project, how important are the following?","extend the project to close gap needed for my use case:When thinking about why you continued to contribute to the selected project, how important are the following?","Were there any barriers or reasons that kept you from contributing to this project or others? If so, please list them below.","Have you ever decided to leave or stop contributing to this project or others? If so, please describe your reasons for leaving below.  ","How important is it to you that your project has contributors from your geographic region? See the description of regions here.","How challenging is it for you to work with people who speak a language different from yours?  ","How helpful are translation tools (e.g., Google Translate and Bing Translate) when connecting with your project collaborators?  ","How important is it to you that your project has contributors with your same gender identity?  ","What do you think can encourage more women's participation in GitHub?","What is your gender identity?  ","Non-binary:What is your gender identity?  ","Which geographic region do you contribute from? See the description of regions here.  "
"21","India","","my hobby","volunteer in the community for free","learn something new","","help get a job","","","","","","","Weekly","Very important","Less important","Not at all important","Important","Important","Less important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Important","Important","Important","Very important","Very important","Not at all important","","","","","","","","","","","","","","I'm a full-time student so time was a barrier. Other than time, review from the owner of the project if not received within a week, it gets boring.","Like stated above, if the project owner doesn't quickly review the contribution, that can be the only reason to stop contributing to that project for me.","Not at all important","Less challenging","Helpful","Not at all important","Companies should consider open-source contributions while hiring, that's how we can get women to Github.","Man","","i.	Southern Asia"
"22","Japan","my full-time job","my hobby","","","","","meet new people","","","","","","Daily","Less important","Important","Important","Less important","Important","Not at all important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Less important","Important","Not at all important","Very important","Neutral","Very important","","","","","","","","","","","","","","* language * less motivation * burnout syndrome * free time","* burnout syndrome","Important","Challenging","Helpful","Not at all important","I have no idea","Man","","g.	Eastern Asia"
"23","Congo","","my hobby","volunteer in the community for free","","","","meet new people","","Other - Write In","","Open-source software is a solution for Africa to progress as a continent as quickly as possible while spending less money ","","Monthly","Very important","Very important","Neutral","Not at all important","Not at all important","Important","","","","","Very important","","","","","","","","","","","","","","","","","","","","","","","","","","","","Important","Very important","Not at all important","Not at all important","Important","Important","","","","","","","","","","","","","","Open-source projects highly depend on donors and funders, and In Africa people don't really get the need and impact of open-source software. So it's difficult to work on a project for more than 4 years ","","Very important","Neutral","Neutral","Not at all important","The creation of communities around values prone by Github and mostly the importance of collaborative work around the world","Man","","b.	Sub-Saharan Africa"
"24","Singapore","","my hobby","","learn something new","my school or university project","","","","","","","","Monthly","Neutral","Neutral","Not at all important","Important","Important","Neutral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Very important","","Important","Neutral","Neutral","Important","Important","Neutral","","","","","","","","","","","Important","","","There's clear things to do","Out of time or find other interesting projects","Neutral","Challenging","Neutral","Not at all important","No idea. Good engineers should help themselves, and oss is one way to do it but only if you have interests.","Man","","g.	Eastern Asia"
"25","Japan","my full-time job","","","learn something new","","","","","","","","","Monthly","Not at all important","Important","Important","Important","Important","Not at all important","","","","","","","","","","","","","","","","","","Very important","","","","","","","","","","","","","","","Important","Neutral","Important","Neutral","Important","Not at all important","","","","","","Very important","","","","","","","","Not for this project. For other projects I have often found maintainers to be unwelcome to new people. ","I stopped contributing to the project when I no longer needed it for my daily work. ","Not at all important","Challenging","Neutral","Not at all important","Fewer misogynistic developers. ","Man","","d.	Northern America"
"26","Brazil","","my hobby","","learn something new","my school or university project","","","","","","","","Weekly","Very important","Neutral","Very important","Neutral","Neutral","Neutral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Neutral","Important","Neutral","Neutral","Very important","Important","","","","","","","","","","","","","","No. It was a short-lived project. However, due to the rest of the team, we had to use outdated technology, contrary to what I wanted.","No. It was a university project in a subject. I couldn't abandon it if I wanted to.","Neutral","Very challenging","Very helpful","Not at all important","I think they no longer need to be encouraged. Where I studied, in my class there were several women highly qualified for any type of project. But if you need any encouragement, perhaps more women will take the initiative to start new open source projects. Maybe it's contagious.","Man","","c.	Latin America and the Caribbean"
"27","Kyrgyzstan","","my hobby","","","","","","","","","","","Monthly","Important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","Nigeria","my full-time job","","","","","","","","","","","","Daily","Very important","Important","Less important","Neutral","Neutral","Not at all important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Important","Very important","Neutral","Important","Important","Important","","","","","","","","","","","","","","","","Important","Neutral","Neutral","Neutral","Proper Knowledge transfer process","Man","","b.	Sub-Saharan Africa"
"29","Netherlands","my full-time job","my hobby","volunteer in the community for free","","","","","","Other - Write In","","Take away some of the learning curve most people experience when starting IoT projects themselves","","Daily","Very important","Very important","Not at all important","Important","Not at all important","Not at all important","","","","","","","","","","","","","","","","Very important","","","","","","","","","","","","","","","","","Very important","Very important","Not at all important","Less important","Important","Not at all important","","","","","","","","","Very important","","","","","Time Not sure if my contribution is good enough","Time Sometimes users can be very demanding (You MUST fix this for me NOW because I need it right NOW)","Not at all important","Less challenging","Helpful","Not at all important","Start using programming or tech projects at the age of 8 - 10, so there is no bias to what is typically ""boy/girl"" stuff. The project I am working on is used at some schools for kids of that age for those that need extra challenges to keep them motivated.","Man","","n.	Western Europe"
"30","Poland","my full-time job","","","","","","","","","","","","Monthly","Important","Very important","Neutral","Neutral","Neutral","Neutral","","","","","","","Very important","","","","","","","","","","","","","","","","","","","","","","","","","","Important","Neutral","Neutral","Neutral","Neutral","Not at all important","","","","","","","","","","","","","","When maintainer of the project is not responsive - you are waiting ages for pull request review or merge.","Similar as before, when changes or fixes are not merged ","Neutral","Neutral","Neutral","Neutral","","Man","","k.	Eastern Europe"
"31","Netherlands","my full-time job","my hobby","volunteer in the community for free","learn something new","","","","","","","","","Monthly","Less important","Important","Not at all important","Less important","Not at all important","Not at all important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Important","","","Neutral","","","","","","","","","","","","","","","","1. Unclear docs 2. Status of the project - active development, abandoned. 3. The utility of the project for personal or professional work 4. Maintainers' helping tendency 5. Language and governance of the project","Not really. ","Less important","Less challenging","Not at all helpful","Not at all important","1. Men should know how to interact with women without an air of authority and welcoming. 2. Women-centric program's like outreachy should encourage women to put out their code and collaborate. 3. Probably, ask women contributors, which makes the coding fun and why they don't contribute as much as men.","Man","","i.	Southern Asia"
"32","United Arab Emirates","","my hobby","","","","","","","","","","","Monthly","Important","Important","Important","Important","Important","Important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Important","Important","Important","Important","Important","Important","","","","","","","","","","","","","","","","Important","Challenging","Helpful","Important","","Prefer not to disclose","","e.	Antarctica"
"33","Netherlands","","","volunteer in the community for free","","","","","","","","","","Monthly","Very important","Very important","Less important","Important","Important","Less important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Less important","","","","","","","","","","","","","","None","No","Less important","Neutral","Very helpful","Not at all important","Treating women as equals","Man","","n.	Western Europe"
"34","Kazakhstan","my full-time job","my hobby","","learn something new","","","","","Other - Write In","","Help other people","","Monthly","Very important","Very important","Neutral","Less important","Neutral","Less important","","","","","","","","Very important","","","","","","","","","","","","","","","","","","","","","","","","","Important","Important","Neutral","Very important","Important","Neutral","","Very important","","","","","","","","","","","","","","Not at all important","Not at all challenging","Helpful","Not at all important","Global women's rights, not in IT only. ","Man","","f.	Central Asia"
"35","Brazil","","","","learn something new","my school or university project","","","","","","","","Monthly","Very important","Very important","Neutral","Important","Neutral","Neutral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Very important","Very important","Important","Important","Important","Important","","","","","","","","","","","","","","","","Neutral","Challenging","Helpful","Important","Show what women who are working with this are doing and how is their experience, do projects/workshops. ","Woman","","c.	Latin America and the Caribbean"
"36","Norway","","my hobby","volunteer in the community for free","learn something new","","","meet new people","","","","","","Monthly","Neutral","Very important","Not at all important","Neutral","Not at all important","Not at all important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Neutral","Important","Important","Very important","Very important","Not at all important","","","","","","","","","","","","","","free time outside work hours","I was prohibited from contributing by the management system of my employer for a while. ","Neutral","Less challenging","Not at all helpful","Not at all important","","Man","","l.	Northern Europe"
"37","India","my full-time job","my hobby","volunteer in the community for free","learn something new","","","","get paid","","","","","Weekly","Important","Very important","Less important","Very important","Very important","Neutral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Important","Important","Neutral","Important","Important","Very important","","","","","","","","","","","","","","Day job or client projects.","- Not needed anymore. - Found something more exciting.","Neutral","Very challenging","Very helpful","Not at all important","Mostly people don't contribute because they fear what'll happen if things go wrong, or they don't know where to start. - Encourage more open devsprints and workshops to help women get started easily. - More hands-on sessions on upstream contributions.","Man","","i.	Southern Asia"
"38","United Kingdom","","","volunteer in the community for free","","","","","","Other - Write In","","Used as part of my research project","","Weekly","Very important","Important","Important","Very important","Very important","Not at all important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Important","","","Important","Neutral","Not at all important","Important","Important","Not at all important","","","","","","","","","","","","","","","I changed projects and it is no longer relevant to my research","Less important","Neutral","Not at all helpful","Not at all important","","Prefer not to disclose","","n.	Western Europe"
"39","Belarus","","","","learn something new","","","","","","","","","Monthly","Less important","Neutral","","Important","Very important","Important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Not at all important","Not at all important","Important","Important","Neutral","Very important","","","","","","","","","","","","","","I stopped using the projects for my personal goals  I've contributed to","I stopped using the projects for my personal goals  I've contributed to","Less important","Neutral","Neutral","Not at all important","","Man","","k.	Eastern Europe"
"40","Norway","my full-time job","","","","","","","","","","","","Weekly","Very important","Very important","Less important","Very important","Very important","Not at all important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Very important","Neutral","Neutral","Very important","Very important","Neutral","","","","","","","","","","","","","","","","Important","Not at all challenging","Neutral","Not at all important","","Man","","l.	Northern Europe"
"41","Turkey","my full-time job","my hobby","","","","help get a job","meet new people","","","","","","Weekly","Less important","Important","Not at all important","Less important","Less important","Not at all important","","Very important","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Less important","Less important","Less important","Important","Important","Very important","","","","","","","","","","","","","","really bad documentation or code cannot explain itself.  very bad style of coding, cannot understand the bad code or requires refactoring first. this is a big barrier to enter to the project. demotivational as well. ","If I don't use it anymore or folks specially do not ask for my help or does not excites me anymore, I stop contributing","Not at all important","Less challenging","Neutral","Not at all important","I don't know why this is even a thing.","Man","",""
"42","Sweden","","","volunteer in the community for free","learn something new","","","","","","","","","Monthly","Important","Important","Not at all important","Not at all important","Less important","Less important","","","","","","","","","","","","","","","Very important","","","","","","","","","","","","","","","","","","Important","Not at all important","Less important","Less important","Important","Less important","","","","","","","","","","","","","","No","Yes. Change of life path","Less important","Neutral","Neutral","Not at all important","Less macho and sexist culture and language","Man","","l.	Northern Europe"
